domestic_inflation_rate,npv,adscr-3,adscr-4,adscr-5,llcr-2,llcr-3,llcr-4,llcr-5,irr,mirr,net_cash_real,adscr_av,llcr_av,parameter,us_inflation_rate,change_in_price,accounts_receivable,accounts_payable,cash_balance,exchange_rate,senior_debt,base_price,fingerlings_survival_rate,fish_feed_price_per_kg,fingerlings_price_per_1000_units,initial_tanks_employed,discount_rate_equity,fish_weight_at_selling,other_indirect_costs,annual_change_in_price_of_domestic_inputs,annual_change_in_price_of_imported_inputs,total_fish_per_tank_per_cycle,monthly_wage_per_worker,monthly_wage_per_supervisor,annual_increase_salaries_workers,annual_increase_salaries_supervisors_technicians,num_workers_per_supervisor,inv_cost_over_run
0.020000000000000004,124.1,20.04040487884202,22.38512291387796,25.25211581750142,21.938655918457055,23.47012833309806,25.135481962845702,26.939347830749192,7.01871,0.6628966822672315,"-2.4300000000000006,15.698782843137245,26.572033418685127,26.613125178702006,26.645656272765585,26.669663862751932,26.68520730237728,27.51499529260662,27.38846107410728,6.126349401197699,3.2619000000000007",,,domestic_inflation_rate,0.03,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.04000000000000001,123.1,19.94697465535671,22.93263125486662,26.686747376715626,22.37897202603279,24.35435050345753,26.53995336170283,28.95105752368645,6.97894,0.6616844162937303,"-2.4300000000000006,15.614660576923054,26.328186497041404,26.41005440757282,26.47626152723555,26.527391183431305,26.563960817517177,27.304609961146582,27.17782962339018,5.918204624443447,3.2618999999999994",,,domestic_inflation_rate,0.03,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.06000000000000001,122.3,19.894233791966684,23.51176460250536,28.189002634038637,22.866611065336357,25.28936315860517,28.017177394847163,31.082288224534086,6.94074,0.6605102126856335,"-2.4300000000000006,15.533721698113204,26.095933463154147,26.217102582400212,26.314013795200804,26.388188286198616,26.44105891336574,27.102398761944958,26.97544794270111,5.717914337794492,3.2619000000000002",,,domestic_inflation_rate,0.03,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.08000000000000002,121.4,19.87693523278209,24.120882319878373,29.761221191019864,23.399954108781568,26.275806525316426,29.569542604300757,33.338242179043704,6.90401,0.6593722548558412,"-2.4300000000000006,15.455771759259251,25.87449977777777,26.03349877635522,26.158333901072723,26.252016004574564,26.317245046853976,26.907874899700587,26.780811188139076,5.525042229449957,3.2619000000000002",,,domestic_inflation_rate,0.03,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.1,120.6,19.890480198467582,24.759230504267737,31.40492098895536,23.977812667535563,27.314481054022743,31.1997240303931,35.72412954265772,6.86869,0.6582688683893301,"-2.4300000000000006,15.380656363636346,25.663176545454537,25.858526898873016,26.00873841527216,26.118807141712836,26.19314786711829,26.72059208915749,26.593458933824266,5.339183643997384,3.2619000000000002",,,domestic_inflation_rate,0.03,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.12000000000000002,119.8,19.931191141563907,25.425783544292578,33.1223181120245,24.599363055700668,28.406328196114824,32.91042071641277,38.24557813320424,6.83469,0.6571984736527963,"-2.4300000000000006,15.308223660714269,25.46131383673468,25.691549293800094,25.864778083932286,25.988515193786657,26.069275505101086,26.54013994913976,26.412970009265933,5.159962860996109,3.2619000000000002",,,domestic_inflation_rate,0.03,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.14,119.0,19.996016005785165,26.119689156866787,34.915691031804286,25.264082087294444,29.552418351354884,34.70441864841132,40.90839224374881,6.80193,0.656159587924185,"-2.4300000000000006,15.238332456140347,25.26831479778391,25.531990053835713,25.726053789988256,25.86109103125043,25.946042140450533,26.366140178736384,26.23895785775335,4.987030529376392,3.2619",,,domestic_inflation_rate,0.03,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.16000000000000003,118.3,20.082304149982175,26.840684374659805,36.78665145665665,25.971696956769,30.753942569234187,36.58466365955978,43.718238057660784,6.77036,0.6551508278964415,"-2.4300000000000006,15.170859482758615,25.083630442330563,25.379321728853167,25.59222530165875,25.73646957063778,25.823787882401415,26.198243426151627,26.071066637543908,4.820061377479345,3.2619000000000002",,,domestic_inflation_rate,0.03,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.18000000000000002,117.6,20.188098085002203,27.58801550626323,38.737800322900256,26.722161124509793,32.012204444905805,38.55396580717784,46.68107775572467,6.7399,0.6541708680740135,"-2.4300000000000006,15.10566567796609,24.90675503648377,25.233083791039984,25.46296585901583,25.614604921883302,25.702775699244757,26.036126184860485,25.908967976821433,4.658752203919707,3.2618999999999994",,,domestic_inflation_rate,0.03,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
227464725.58904,76.1,,,,,,,,5.06124,0.5071093753330034,,1.610586695145314e+42,2.661243309530393e+42,domestic_inflation_rate,0.03,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.1,120.6,19.890480198467582,24.759230504267737,31.40492098895536,23.977812667535563,27.314481054022743,31.1997240303931,35.72412954265772,6.86869,0.6582688683893301,"-2.4300000000000006,15.380656363636346,25.663176545454537,25.858526898873016,26.00873841527216,26.118807141712836,26.19314786711829,26.72059208915749,26.593458933824266,5.339183643997384,3.2619000000000002",,,us_inflation_rate,0.006,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.1,120.6,19.890480198467582,24.759230504267737,31.40492098895536,23.977812667535563,27.314481054022743,31.1997240303931,35.72412954265772,6.86869,0.6582688683893301,"-2.4300000000000006,15.380656363636346,25.663176545454537,25.858526898873016,26.00873841527216,26.118807141712836,26.19314786711829,26.72059208915749,26.593458933824266,5.339183643997384,3.2619000000000002",,,us_inflation_rate,0.012,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.1,120.6,19.890480198467582,24.759230504267737,31.40492098895536,23.977812667535563,27.314481054022743,31.1997240303931,35.72412954265772,6.86869,0.6582688683893301,"-2.4300000000000006,15.380656363636346,25.663176545454537,25.858526898873016,26.00873841527216,26.118807141712836,26.19314786711829,26.72059208915749,26.593458933824266,5.339183643997384,3.2619000000000002",,,us_inflation_rate,0.018000000000000002,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
0.1,120.6,19.890480198467582,24.759230504267737,31.40492098895536,23.977812667535563,27.314481054022743,31.1997240303931,35.72412954265772,6.86869,0.6582688683893301,"-2.4300000000000006,15.380656363636346,25.663176545454537,25.858526898873016,26.00873841527216,26.118807141712836,26.19314786711829,26.72059208915749,26.593458933824266,5.339183643997384,3.2619000000000002",,,us_inflation_rate,0.024,0.0,0.1,0.1,0.1,1.0,0.7,3500.0,0.8,0.8,100.0,10.0,0.12,300.0,200.0,0.0,0.01,3000.0,0.3,0.5,0.03,0.03,5.0,0.0
